Year Month Day Hour Minute Second VelocityX VelocityY Level StdError1 StdError2 StdError3 SNR1 SNR2 SNR3 SignalAmp1 SignalAmp2 SignalAmp3 Noise1 Noise2 Noise3 IceDetection Heading Pitch Roll StdDevHeading StdDevPitch StdDevRoll Temperature Pressure StdDevPressure Voltage CellBegin CellEnd Speed Direction Area Flow 
2019 07 30 12 02 27    37.3    -7.1   0.933   0.3   0.1   0.0  31.4  27.1   0.0 106  94   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.10     0.9093    0.003  13.8   1.5 119.5   37.97   100.8      -1.0000       0.0000
2019 07 30 12 04 27    38.1    -7.3   0.930   0.3   0.1   0.0  31.0  26.7   0.0 105  94   0  33  32  29   0  255.3   4.0  -2.4  0.0  0.0  0.0  14.10     0.9078    0.003  13.8   1.5 119.5   38.79   100.8      -1.0000       0.0000
2019 07 30 12 06 27    36.2    -7.0   0.934   0.3   0.1   0.0  31.4  27.1   0.0 105  94   0  32  31  29   0  255.3   4.0  -2.4  0.0  0.0  0.0  14.10     0.9090    0.003  13.8   1.5 119.5   36.87   100.9      -1.0000       0.0000
2019 07 30 12 08 27    36.2    -7.5   0.934   0.3   0.1   0.0  31.4  27.1   0.0 106  94   0  33  31  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.10     0.9109    0.003  13.8   1.5 119.5   36.97   101.7      -1.0000       0.0000
2019 07 30 12 10 27    37.0    -6.8   0.934   0.3   0.1   0.0  31.8  27.1   0.0 106  94   0  32  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.10     0.9113    0.002  13.8   1.5 119.5   37.62   100.4      -1.0000       0.0000
2019 07 30 12 12 27    35.4    -7.1   0.931   0.3   0.1   0.0  31.8  26.7   0.0 106  94   0  32  32  29   0  255.3   4.0  -2.4  0.0  0.0  0.0  14.10     0.9101    0.003  13.8   1.5 119.5   36.10   101.3      -1.0000       0.0000
2019 07 30 12 14 27    36.5    -7.1   0.933   0.3   0.1   0.0  31.0  27.1   0.0 105  94   0  33  31  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.10     0.9105    0.003  13.2   1.5 119.5   37.18   101.0      -1.0000       0.0000
2019 07 30 12 16 27    36.2    -7.1   0.935   0.3   0.1   0.0  31.0  26.7   0.0 105  94   0  33  32  28   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.10     0.9105    0.003  13.6   1.5 119.5   36.89   101.1      -1.0000       0.0000
2019 07 30 12 18 27    37.0    -7.3   0.934   0.3   0.1   0.0  31.4  26.2   0.0 106  94   0  33  33  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.10     0.9097    0.003  13.8   1.5 119.5   37.71   101.2      -1.0000       0.0000
2019 07 30 12 20 27    36.7    -7.0   0.934   0.3   0.1   0.0  31.0  26.7   0.0 105  94   0  33  32  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.11     0.9097    0.003  13.4   1.5 119.5   37.36   100.8      -1.0000       0.0000
2019 07 30 12 22 27    36.7    -7.0   0.933   0.3   0.1   0.0  31.4  27.1   0.0 105  94   0  32  31  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.11     0.9101    0.003  13.2   1.5 119.5   37.36   100.8      -1.0000       0.0000
2019 07 30 12 24 27    36.6    -7.5   0.935   0.3   0.1   0.0  31.0  26.2   0.0 105  93   0  33  32  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.11     0.9117    0.002  13.6   1.5 119.5   37.36   101.6      -1.0000       0.0000
2019 07 30 12 26 27    35.6    -7.5   0.932   0.3   0.1   0.0  31.4  26.7   0.0 105  94   0  32  32  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.11     0.9097    0.003  13.2   1.5 119.5   36.38   101.9      -1.0000       0.0000
2019 07 30 12 28 27    35.2    -7.4   0.933   0.3   0.1   0.0  31.4  27.1   0.0 106  94   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.11     0.9101    0.003  13.6   1.5 119.5   35.97   101.9      -1.0000       0.0000
2019 07 30 12 30 27    35.6    -7.3   0.935   0.3   0.1   0.0  31.4  27.1   0.0 106  94   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.11     0.9109    0.002  13.8   1.5 119.5   36.34   101.6      -1.0000       0.0000
2019 07 30 12 32 27    35.9    -8.0   0.935   0.3   0.1   0.0  31.4  27.1   0.0 106  94   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.11     0.9101    0.003  13.4   1.5 119.5   36.78   102.6      -1.0000       0.0000
2019 07 30 12 34 27    36.3    -7.2   0.935   0.3   0.1   0.0  31.0  26.2   0.0 105  93   0  33  32  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.11     0.9109    0.003  13.0   1.5 119.5   37.01   101.2      -1.0000       0.0000
2019 07 30 12 36 27    35.5    -6.8   0.935   0.3   0.1   0.0  31.4  27.1   0.0 106  94   0  33  31  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.11     0.9109    0.002  13.0   1.5 119.5   36.15   100.8      -1.0000       0.0000
2019 07 30 12 38 27    35.6    -7.6   0.934   0.3   0.1   0.0  31.8  26.2   0.0 108  97   0  34  36  29   0  255.4   4.0  -2.8  0.0  0.0  0.0  14.12     0.9105    0.003  13.8   1.5 119.5   36.40   102.1      -1.0000       0.0000
2019 07 30 12 40 27    36.6    -8.2   0.934   0.3   0.1   0.0  31.8  26.7   0.0 107  94   0  33  32  30   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.12     0.9109    0.002  13.0   1.5 119.5   37.51   102.6      -1.0000       0.0000
2019 07 30 12 42 27    35.9    -7.2   0.935   0.3   0.1   0.0  30.5  26.2   0.0 105  93   0  34  32  29   0  255.4   4.0  -2.4  0.0  0.0  0.0  14.12     0.9109    0.002  13.0   1.5 119.5   36.61   101.3      -1.0000       0.0000
