2019 09 18 01 34 01     2.5     0.3   1.150   0.2   0.0   0.0  18.5  26.7   0.0  77  93   0  34  31  26   0  265.9 -10.0 -24.0  0.0  0.0  0.0  16.70     1.2407    0.002  12.4   1.5  45.5    2.52    83.2      -1.0000       0.0000
2019 09 18 01 49 01     1.8     0.3   1.155   0.2   0.0   0.0  18.5  27.1   0.0  76  93   0  33  30  26   0  265.9 -10.0 -24.0  0.0  0.0  0.0  16.70     1.2403    0.002  12.4   1.5  45.5    1.82    80.5      -1.0000       0.0000
2019 09 18 02 04 01     2.3     1.1   1.150   0.2   0.0   0.0  18.5  26.7   0.0  75  92   0  32  30  25   0  265.8 -10.0 -24.0  0.0  0.0  0.0  16.70     1.2297    0.010  12.4   1.5  47.0    2.55    64.4      -1.0000       0.0000
2019 09 18 02 19 01     0.9     0.4  -1.000   0.2   0.0   0.0  17.6  26.2   0.0  72  90   0  31  29  25   0  265.4 -10.0 -24.0  0.0  0.0  0.0  16.69     1.2312    0.004  12.4   1.5  49.5    0.98    66.0      -1.0000       0.0000
2019 09 18 02 34 01     0.9     0.5  -1.000   0.2   0.0   0.0  16.8  24.9   0.0  71  88   0  32  30  25   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.69     1.2265    0.004  12.4   1.5  51.0    1.03    60.9      -1.0000       0.0000
2019 09 18 02 49 01     1.6     0.5  -1.000   0.2   0.0   0.0  17.6  25.4   0.0  72  90   0  31  31  25   0  265.5 -10.0 -24.0  0.0  0.0  0.0  16.68     1.2190    0.004  12.4   1.5  49.5    1.68    72.6      -1.0000       0.0000
2019 09 18 03 04 01     1.6     0.7  -1.000   0.3   0.1   0.0  18.1  26.7   0.0  74  92   0  32  30  25   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.68     1.2135    0.003  12.4   1.5  47.0    1.75    66.4      -1.0000       0.0000
2019 09 18 03 19 01     0.5     0.7  -1.000   0.2   0.0   0.0  18.1  26.2   0.0  74  92   0  32  31  26   0  265.5 -10.0 -24.0  0.0  0.0  0.0  16.67     1.2063    0.003  12.4   1.5  47.0    0.86    35.5      -1.0000       0.0000
2019 09 18 03 34 01     0.4     0.5   1.141   0.2   0.0   0.0  18.1  27.1   0.0  74  92   0  32  29  25   0  265.9 -10.0 -24.0  0.0  0.0  0.0  16.66     1.2004    0.004  12.4   1.5  47.0    0.64    38.7      -1.0000       0.0000
2019 09 18 03 49 01     0.4     0.1  -1.000   0.2   0.0   0.0  18.1  26.7   0.0  74  92   0  32  30  26   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.65     1.1961    0.004  12.4   1.5  46.5    0.41    76.0      -1.0000       0.0000
2019 09 18 04 04 01     0.0    -0.2   1.151   0.2   0.0   0.0  18.9  27.1   0.0  76  93   0  32  30  25   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.65     1.1889    0.003  12.4   1.5  46.5    0.20   180.0      -1.0000       0.0000
2019 09 18 04 19 01     0.1     0.0  -1.000   0.2   0.0   0.0  18.1  27.1   0.0  74  92   0  32  29  26   0  265.9 -10.0 -24.0  0.0  0.0  0.0  16.63     1.2028    0.004  12.4   1.5  47.5    0.10    90.0      -1.0000       0.0000
2019 09 18 04 34 01    -0.2     0.6  -1.000   0.2   0.0   0.0  18.1  26.7   0.0  74  92   0  32  30  26   0  265.5 -10.0 -24.0  0.0  0.0  0.0  16.62     1.2107    0.004  12.4   1.5  47.0    0.63   341.6      -1.0000       0.0000
2019 09 18 04 49 01     0.0     0.3  -1.000   0.2   0.0   0.0  18.5  26.7   0.0  75  92   0  32  30  26   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.60     1.2111    0.004  12.4   1.5  47.0    0.30     0.0      -1.0000       0.0000
2019 09 18 05 04 01     1.3     0.1  -1.000   0.2   0.0   0.0  18.1  26.7   0.0  74  92   0  32  30  25   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.59     1.2063    0.003  12.4   1.5  47.5    1.30    85.6      -1.0000       0.0000
2019 09 18 05 19 01     1.6     0.9  -1.000   0.2   0.0   0.0  17.6  27.1   0.0  74  93   0  33  30  38   0  265.4 -10.0 -24.0  0.0  0.0  0.0  16.57     1.2000    0.003  12.4   1.5  47.0    1.84    60.6      -1.0000       0.0000
2019 09 18 05 34 01     2.3     1.1  -1.000   0.2   0.0   0.0  17.6  26.2   0.0  73  92   0  32  31  38   0  265.9 -10.0 -24.0  0.0  0.0  0.0  16.55     1.1933    0.003  12.4   1.5  48.5    2.55    64.4      -1.0000       0.0000
2019 09 18 05 49 01     2.0     0.9  -1.000   0.2   0.0   0.0  18.1  26.7   0.0  75  93   0  33  31  36   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.54     1.1917    0.002  12.4   1.5  46.5    2.19    65.8      -1.0000       0.0000
2019 09 18 06 04 01     1.1     0.6  -1.000   0.2   0.0   0.0  17.6  26.7   0.0  74  93   0  33  31  36   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.52     1.1937    0.003  12.4   1.5  47.0    1.25    61.4      -1.0000       0.0000
2019 09 18 06 19 01     0.2     0.3  -1.000   0.2   0.0   0.0  18.5  27.1   0.0  76  94   0  33  31  36   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.50     1.1933    0.003  12.4   1.5  45.0    0.36    33.7      -1.0000       0.0000
2019 09 18 06 34 01     0.5     0.7  -1.000   0.2   0.0   0.0  17.6  26.2   0.0  74  92   0  33  31  37   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.48     1.1921    0.003  12.4   1.5  47.5    0.86    35.5      -1.0000       0.0000
2019 09 18 06 49 01     1.6     0.9  -1.000   0.2   0.0   0.0  18.1  27.1   0.0  75  94   0  33  31  36   0  265.5 -10.0 -24.0  0.0  0.0  0.0  16.46     1.1917    0.003  12.4   1.5  46.0    1.84    60.6      -1.0000       0.0000
2019 09 18 07 04 01     0.7     0.5  -1.000   0.2   0.0   0.0  18.1  26.2   0.0  75  92   0  33  31  37   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.44     1.1929    0.003  12.4   1.5  46.5    0.86    54.5      -1.0000       0.0000
2019 09 18 07 19 01    -0.9     0.0  -1.000   0.2   0.0   0.0  17.6  25.4   0.0  74  91   0  33  32  37   0  265.9 -10.0 -24.0  0.0  0.0  0.0  16.42     1.1866    0.003  12.4   1.5  47.0    0.90   270.0      -1.0000       0.0000
2019 09 18 07 34 01    -0.5    -0.2  -1.000   0.3   0.1   0.0  18.5  26.7   0.0  76  93   0  33  31  37   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.40     1.1874    0.003  12.6   1.5  45.5    0.54   248.2      -1.0000       0.0000
2019 09 18 07 49 01    -0.2    -0.1  -1.000   0.3   0.1   0.0  18.5  26.7   0.0  76  93   0  33  31  36   0  265.8 -10.0 -24.0  0.0  0.0  0.0  16.40     1.1854    0.003  12.6   1.5  46.0    0.22   243.4      -1.0000       0.0000
2019 09 18 08 04 01    -0.9     0.0   1.157   0.2   0.0   0.0  17.2  25.8   0.0  73  91   0  33  31  36   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.39     1.1850    0.003  12.6   1.5  48.5    0.90   270.0      -1.0000       0.0000
2019 09 18 08 19 01    -1.4    -0.3  -1.000   0.3   0.1   0.0  18.1  26.7   0.0  75  93   0  33  31  35   0  265.5 -10.0 -24.0  0.0  0.0  0.0  16.38     1.1854    0.003  12.6   1.5  46.5    1.43   257.9      -1.0000       0.0000
2019 09 18 08 34 01    -0.4    -0.1  -1.000   0.2   0.0   0.0  17.2  25.4   0.0  72  90   0  32  31  36   0  265.6 -10.0 -24.0  0.0  0.0  0.0  16.37     1.1739    0.003  12.6   1.5  49.5    0.41   256.0      -1.0000       0.0000
2019 09 18 08 49 01    -0.2    -0.1   1.155   0.3   0.1   0.0  17.6  26.2   0.0  74  92   0  33  31  37   0  265.9 -10.0 -24.0  0.0  0.0  0.0  16.37     1.1739    0.003  12.6   1.5  48.0    0.22   243.4      -1.0000       0.0000
2019 09 18 09 04 01    -0.2    -0.1   1.154   0.2   0.0   0.0  17.2  26.2   0.0  73  92   0  33  31  37   0  265.5 -10.0 -24.0  0.0  0.0  0.0  16.37     1.1696    0.003  12.6   1.5  49.0    0.22   243.4      -1.0000       0.0000
